2asz@t.xcf	2ac@t	o0000010	1244A
musz3.xcf	muc3	o0000466	12239
na.xcf	na	o0000469	1223E
na2.xcf	na2	o0000476	1223F
nag.xcf	nag	o0001611	12158
naga.xcf	naga	o0000470	12240
nam.xcf	nam	o0000474	12246
nansze.xcf	nance	o0000749	1200F
ne.xcf	ne	o0000477	12248
ne~a.xcf	ne~a	tcl8:ne~a	F1002
ni.xcf	ni	o0000479	1224C
nim.xcf	nim	o0000482	1224F
nin.xcf	nin	o0002323	1238F
nin9.xcf	nin9	o0002305	12390
ninda2.xcf	ninda2	o0000483	12252
ninnu.xcf	ninnu	o0000055	12410
nir.xcf	nir	o0002123	1226A
nisaba.xcf	nisaba	o0002722	F141C
nu.xcf	nu	o0000487	12261
nu11.xcf	nu11	o0000491	12262
numun.xcf	numun	o0000291	121B0
nun.xcf	nun	o0000488	12263
nunuz.xcf	nunuz	o0000490	1226D
pa.xcf	pa	o0000497	1227A
pad.xcf	pad	o0000498	1227B
pan.xcf	pan	o0000499	1227C
pesz.xcf	pec	o0000233	1212B
pi.xcf	pi	o0000502	1227F
pirig.xcf	pirig	o0000503	1228A
ra.xcf	ra	o0000510	1228F
rec145.xcf	rec145	o0000297	121AD
ri.xcf	ri	o0000514	12291
ru.xcf	ru	o0000516	12292
sa.xcf	sa	o0000517	12293
sa6.xcf	sa6	o0002829	122B7
sag.xcf	sag	o0000518	12295
sajja.xcf	sajja	o0002837	122C3
sar.xcf	sar	o0000524	122AC
sed6.xcf	sed6	o0000466	12239
si.xcf	si	o0000525	122DB
sig.xcf	sig	o0000527	122DD
sig4.xcf	sig4	o0000528	122DE
sig7.xcf	sig7	o0000248	1214A
siki.xcf	siki	o0000529	122E0
sikil.xcf	sikil	o0000170	12096
sila4.xcf	sila4	o0001321	120E2
sizkur.xcf	sizkur	o0000795	1202C
su.xcf	su	o0000531	122E2
sud.xcf	sud	o0000532	122E4
suhur.xcf	suhur	o0000535	122E6
sum.xcf	sum	o0000536	122E7
sur.xcf	sur	o0000539	122E9
sza.xcf	ca	o0002824	122AD
sza3.xcf	ca3	o0002828	122AE
sze.xcf	ce	o0002831	122BA
sze3.xcf	ce3	o0000178	120A0
szeg9.xcf	ceg9	o0002832	122BE
szen.xcf	cen	o0002833	122BF
szesz.xcf	cec	o0002834	122C0
szim.xcf	cim	o0002838	122C6
szim@gxkuszu2.xcf	cim@g*kucu2	o0027653	F1A80
szim@gxpi.xcf	cim@g*pi	o0027655	F1A81
szimxkuszu2.xcf	cim*kucu2	o0002755	122CE
szimxpi.xcf	cim*pi	o0002758	F18B2
szinig.xcf	cinig	o0002839	122D2
szita.xcf	cita	o0002842	122D6
szita2.xcf	cita2	o0023027	F1447
szudul2.xcf	cudul2	o0002468	F14BA
szul.xcf	cul	o0000158	12084
ta.xcf	ta	o0000541	122EB
tag.xcf	tag	o0000546	122F3
tak4.xcf	tak4	o0000547	122FA
tar.xcf	tar	o0000548	122FB
te.xcf	te	o0000550	122FC
ti.xcf	ti	o0000553	122FE
tin.xcf	tin	o0000144	12077
tir.xcf	tir	o0002726	12301
tu.xcf	tu	o0000556	12305
tug2.xcf	tug2	o0000557	12306
tuk.xcf	tuk	o0000558	12307
tum3.xcf	tum3	o0002081	12250
tur.xcf	tur	o0000560	12309
tur3.xcf	tur3	o0002125	F133A
u2.xcf	u2	o0000599	12311
u3.xcf	u3	o0001487	12147
u5.xcf	u5	o0001470	F11DD
u8.xcf	u8	o0001778	121C7
ub.xcf	ub	o0000564	12312
ubur.xcf	ubur	o0000953	1205B
ud.xcf	ud	o0000565	12313
ud5.xcf	ud5	o0000594	1235A
udun.xcf	udun	o0002464	F14B5
ug.xcf	ug	o0002244	1228C
ul.xcf	ul	o0002459	1230C
um.xcf	um	o0000571	1231D
umbin.xcf	umbin	o0000572	12322
un.xcf	un	o0000574	12326
unken.xcf	unken	o0002555	1233A
ur.xcf	ur	o0000576	12328
ur2.xcf	ur2	o0000585	1232B
ur3.xcf	ur3	o0001319	120E1
urin.xcf	urin	o0000581	12336
uruda.xcf	uruda	o0000584	1234F
uruxa.xcf	uru*a	o0002553	12338
usz.xcf	uc	o0000595	12351
uszum.xcf	ucum	o0000131	12054
uzug3.xcf	uzug3	o0002292	122A2
za.xcf	za	o0000603	1235D
zag.xcf	zag	o0000605	12360
ze2.xcf	ze2	o0000608	12362
zi.xcf	zi	o0000609	12363
zu.xcf	zu	o0000614	1236A
